City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,papatowai,-46.5619,169.4708,10.71,98,100,3.33,NZ,1695248768
1,port-aux-francais,-49.35,70.2167,-0.4,71,100,17.64,TF,1695248768
2,waitangi,-43.9535,-176.5597,13.79,88,5,4.02,NZ,1695248769
3,ebon,4.582,168.6964,28.4,77,91,4.94,MH,1695248769
4,remire-montjoly,4.9167,-52.2667,28.02,83,75,1.03,GF,1695248770
5,iqaluit,63.7506,-68.5145,-0.15,93,100,2.06,CA,1695248770
6,sao gabriel da cachoeira,-0.1303,-67.0892,27.05,76,81,0.55,BR,1695248498
7,hamilton,39.1834,-84.5333,28.62,45,20,4.12,US,1695248698
8,port augusta,-32.5,137.7667,13.19,79,11,3.61,AU,1695248772
9,cidreira,-30.1811,-50.2056,19.01,95,25,5.27,BR,1695248773
10,bilibino,68.0546,166.4372,2.37,67,100,1.27,RU,1695248773
11,hawaiian paradise park,19.5933,-154.9731,27.15,78,100,3.6,US,1695248774
12,nuuk,64.1835,-51.7216,2.71,74,100,2.68,GL,1695248774
13,laojunmiao,39.8333,97.7333,13.46,34,1,2.44,CN,1695248775
14,invercargill,-46.4,168.35,9.45,96,100,0.45,NZ,1695248776
15,puerto natales,-51.7236,-72.4875,3.22,83,84,3.93,CL,1695248777
16,port elizabeth,-33.918,25.5701,11.72,93,0,1.03,ZA,1695248488
17,hermanus,-34.4187,19.2345,12.67,75,29,5.77,ZA,1695248778
18,waingapu,-9.6567,120.2641,22.56,84,8,3.2,ID,1695248778
19,soio,-6.1349,12.3689,23.72,86,22,4.97,AO,1695248689
20,grytviken,-54.2811,-36.5092,-2.78,82,74,4.53,GS,1695248779
21,san pedro,14.35,121.0167,27.57,92,20,1.34,PH,1695248780
22,atafu village,-8.5421,-172.5159,27.83,80,100,8.83,TK,1695248781
23,baganga,7.5739,126.56,25.72,85,99,1.39,PH,1695248781
24,keflavik,64.0049,-22.5624,8.24,71,0,4.12,IS,1695248782
25,ankang,32.68,109.0172,16.24,94,100,1.32,CN,1695248782
26,afaahiti,-17.75,-149.2833,25.93,72,1,3.57,PF,1695248783
27,agadez,19.75,10.25,31.02,13,0,3.48,NE,1695248784
28,badger,64.8,-147.5333,6.31,85,100,2.06,US,1695248784
29,segarcea,44.1,23.75,19.26,55,56,2.01,RO,1695248785
30,edinburgh of the seven seas,-37.0676,-12.3116,11.17,64,100,8.37,SH,1695248785
31,tura,25.5198,90.2201,22.87,99,100,2.66,IN,1695248786
32,cabo san lucas,22.8909,-109.9124,35.9,48,0,7.72,MX,1695248428
33,avarua,-21.2078,-159.775,22.03,56,100,4.63,CK,1695248787
34,weno,7.4515,151.8468,28.56,77,89,5.75,FM,1695248787
35,beau vallon,-20.4189,57.6953,24.13,78,40,5.14,MU,1695248788
36,puerto san jose,13.9256,-90.8244,29.68,69,100,2.85,GT,1695248788
37,shingu,33.7333,135.9833,25.48,88,100,2.53,JP,1695248789
38,isafjordur,66.0755,-23.124,5.97,74,48,7.21,IS,1695248790
39,hammerfest,70.6634,23.6821,4.25,81,20,5.14,NO,1695248790
40,novobelokatay,55.7062,58.9549,6.1,80,70,2.57,RU,1695248790
41,adamstown,-25.066,-130.1015,20.13,90,100,3.9,PN,1695248791
42,toliara,-23.35,43.6667,21.38,81,0,2.13,MG,1695248792
43,siwa oasis,29.2041,25.5195,26.89,46,0,6.26,EG,1695248792
44,holualoa,19.6228,-155.9522,28.08,70,40,5.14,US,1695248793
45,qaqortoq,60.7167,-46.0333,3.77,77,98,0.75,GL,1695248794
46,narsingi,18.0333,78.4333,23.15,89,100,1.88,IN,1695248794
